fecha,buque,imo,puerto,pax,trip,exentos,sentido,servicio,anio
2021-01-02 00:00:00,,,,,,,Entrada,Pasajeros,2021
2021-01-02 00:00:00,ISABELLE I,7801843,PUERTO BUENOS AIRES,0,11,0,Salida,Carga,2021
2021-01-04 00:00:00,FRANCISCO,9610028,BUQUEBUS,263,19,11,Entrada,Pasajeros,2021
2021-01-04 00:00:00,FRANCISCO,9610028,BUQUEBUS,0,19,0,Salida,Pasajeros,2021
2021-01-04 00:00:00,MINERVA,9778155,PUERTO BUENOS AIRES,0,14,0,Entrada,Carga,2021
2021-01-05 00:00:00,,,,,,,Entrada,Pasajeros,2021
2021-01-05 00:00:00,MINERVA,9778155,PUERTO BUENOS AIRES,0,13,0,Salida,Carga,2021
2021-01-06 00:00:00,,,,,,,Entrada,Pasajeros,2021
2021-01-06 00:00:00,COSCO SHIPPING VOLGA,9731925,PUERTO BUENOS AIRES,0,26,0,Salida,Carga,2021
2021-01-07 00:00:00,BBC ARKHANGELSK,9736212,PUERTO BUENOS AIRES,0,19,0,Entrada,Carga,2021
2021-01-07 00:00:00,EVER LOVELY,9629110,PUERTO BUENOS AIRES,0,20,0,Entrada,Carga,2021
2021-01-07 00:00:00,FRANCISCO,9610028,BUQUEBUS,227,19,8,Entrada,Pasajeros,2021
2021-01-07 00:00:00,FRANCISCO,9610028,BUQUEBUS,1,19,0,Salida,Pasajeros,2021
2021-01-07 00:00:00,HUNGARY,9723253,PUERTO BUENOS AIRES,0,18,0,Entrada,Carga,2021
2021-01-07 00:00:00,ISABELLE I,7801843,PUERTO BUENOS AIRES,0,11,0,Salida,Carga,2021
2021-01-07 00:00:00,JOSAMO,8933746,PUERTO BUENOS AIRES,0,12,0,Entrada,Carga,2021
2021-01-07 00:00:00,LOGIN ENDURANCE,9571296,PUERTO BUENOS AIRES,0,20,0,Salida,Carga,2021
2021-01-07 00:00:00,LUMPHINI PARK,9640114,PUERTO BUENOS AIRES,0,23,0,Entrada,Carga,2021
2021-01-07 00:00:00,MAERSK LABREA,9527063,PUERTO BUENOS AIRES,0,26,0,Salida,Carga,2021
2021-01-07 00:00:00,MSC BARBARA,9226932,PUERTO BUENOS AIRES,0,29,0,Entrada,Carga,2021
2021-01-07 00:00:00,MSC SOFIA CELESTE,9702091,PUERTO BUENOS AIRES,0,30,0,Salida,Carga,2021
2021-01-08 00:00:00,CLARA B,9535503,PUERTO BUENOS AIRES,0,11,0,Salida,Carga,2021
2021-01-08 00:00:00,ENTERPRISE,9539236,PUERTO BUENOS AIRES,0,11,0,Entrada,Carga,2021
2021-01-08 00:00:00,LOGIN JACARANDA,9471886,PUERTO BUENOS AIRES,0,19,0,Entrada,Carga,2021
2021-01-08 00:00:00,MSC BARBARA,9226932,PUERTO BUENOS AIRES,1,25,0,Salida,Carga,2021
2021-01-08 00:00:00,RAUL D,9545974,PUERTO BUENOS AIRES,0,10,0,Salida,Carga,2021
2021-01-08 00:00:00,RIO SOLIS III,6819104,PUERTO BUENOS AIRES,0,8,0,Salida,Carga,2021
2021-01-08 00:00:00,ROSA,9092343,PUERTO BUENOS AIRES,0,11,0,Entrada,Carga,2021
2021-01-09 00:00:00,FRANCISCO,9610028,BUQUEBUS,23,36,1,Entrada,Pasajeros,2021
2021-01-09 00:00:00,FRANCISCO,9610028,BUQUEBUS,774,36,22,Salida,Pasajeros,2021
2021-01-09 00:00:00,HUNGARY,9723253,PUERTO BUENOS AIRES,0,18,0,Salida,Carga,2021
2021-01-09 00:00:00,JOSAMO,8933746,PUERTO BUENOS AIRES,0,12,0,Salida,Carga,2021
2021-01-09 00:00:00,TORRENTE,9447914,PUERTO BUENOS AIRES,0,27,0,Entrada,Carga,2021
2021-01-10 00:00:00,CELSIUS MANHATTAN,9323766,PUERTO BUENOS AIRES,0,23,0,Salida,Carga,2021
2021-01-10 00:00:00,LOGIN JACARANDA,9471886,PUERTO BUENOS AIRES,0,19,0,Salida,Carga,2021
2021-01-10 00:00:00,MAERSK LEON,9526966,PUERTO BUENOS AIRES,0,26,0,Entrada,Carga,2021
2021-01-11 00:00:00,BBC SWITZERLAND,9433315,PUERTO BUENOS AIRES,0,14,0,Salida,Carga,2021
2021-01-11 00:00:00,CAP SAN ARTEMISSIO,9633939,PUERTO BUENOS AIRES,0,24,0,Entrada,Carga,2021
2021-01-11 00:00:00,FRANCISCO,9610028,BUQUEBUS,0,19,0,Salida,Pasajeros,2021
2021-01-11 00:00:00,FRANCISCO,9610028,BUQUEBUS,286,18,7,Entrada,Pasajeros,2021
2021-01-11 00:00:00,TORRENTE,9447914,PUERTO BUENOS AIRES,0,25,0,Salida,Carga,2021
